"label"	"spaceAgencyName"	"launchPlaceName"	"latitude"	"longitude"	"astroName"	"birthPlaceName"
"IRS-P3"	"Indian Space Research Organisation"	"Satish Dhawan Space Centre"				
"Chandrayaan-2"	"Indian Space Research Organisation"	"Satish Dhawan Space Centre"				
"USA-226"	"United States Air Force"	"Cape Canaveral Air Force Station"				
"Apollo 15"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Alfred Worden"	"Jackson, Michigan"
"Progress M-10M"	"Roskosmos"	"Gagarin's Start"				
"Explorer 4"	"Army Ballistic Missile Agency"	"Cape Canaveral Air Force Station"				
"ALOS-2"	"JAXA"	"Tanegashima Space Center"				
"Progress M-05M"	"Roskosmos"	"Gagarin's Start"				
"Aqua (satellite)"	"NASA"	"Vandenberg Air Force Base"				
"STS-51"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"James H. Newman"	"Federated States of Micronesia"
"Yamal 102"	"Gazprom Space Systems"	"Baikonur Cosmodrome Site 81"				
"STS-55"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Charles J. Precourt"	"Waltham, Massachusetts"
"Eutelsat 16C"	"Eutelsat"	"Baikonur Cosmodrome"				
"Kosmos 2395"	"Russian Space Forces"	"Baikonur Cosmodrome Site 81"				
"JCSAT-3"	"Intelsat"	"Cape Canaveral Air Force Station"				
"STS-129"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Randolph Bresnik"	"Fort Knox"
"STS-9"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Ulf Merbold"	"Greiz"
"NOAA-4"	"NOAA"	"Vandenberg Air Force Base"				
"Soyuz TM-20"	"Rosaviakosmos"	"Baikonur Cosmodrome Site 1"				
"Pioneer P-31"	"NASA"	"Cape Canaveral Air Force Station"				
"STS-8"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"William E. Thornton"	"North Carolina"
"STS-51-B"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Robert F. Overmyer"	"Lorain, Ohio"
"STS-37"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Linda M. Godwin"	"Cape Girardeau, Missouri"
"GSAT-2"	"Indian Space Research Organisation"	"Satish Dhawan Space Centre"				
"IRNSS-1A"	"ISRO"	"Satish Dhawan Space Centre"				
"STS-43"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"James C. Adamson"	"Warsaw, New York"
"STS-72"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Leroy Chiao"	"Wisconsin"
"Chang'e 6"	"China National Space Administration"	"Wenchang Satellite Launch Center"				
"STS-111"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Philippe Perrin"	"Meknes"
"STS-30"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Mark C. Lee"	"Viroqua, Wisconsin"
"IKAROS"	"JAXA"	"Tanegashima Space Center"				
"STS-94"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Janice E. Voss"	"South Bend, Indiana"
"SICRAL 1B"	"Telespazio"	"Odyssey (launch platform)"				
"Soyuz TMA-20M"	"Roskosmos"	"Baikonur Cosmodrome Site 1"				
"Resurs-P No.1"	"Roskosmos"	"Baikonur Cosmodrome"				
"TD-1A"	"ESRO"	"Vandenberg Air Force Base"				
"Progress M-07M"	"Roskosmos"	"Baikonur Cosmodrome"				
"STS-31"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Bruce McCandless II"	"Boston"
"Astra 2G"	"SES S.A."	"Baikonur Cosmodrome"				
"STS-70"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Donald A. Thomas"	"Cleveland"
"Indian Venusian orbiter mission"	"Indian Space Research Organisation"	"Satish Dhawan Space Centre"				
"STSAT-2C"	"Korea Aerospace Research Institute"	"Naro Space Center"				
"STS-34"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Ellen S. Baker"	"Fayetteville, North Carolina"
"STS-70"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Mary Ellen Weber"	"Cleveland"
"Apstar-7"	"APT Satellite Holdings"	"Xichang Satellite Launch Center"				
"Apollo 10"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Eugene Cernan"	"Illinois"
"Shijian XI-01"	"China Aerospace Science and Technology Corporation"	"Jiuquan Satellite Launch Center"				
"STS-43"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"G. David Low"	"Cleveland"
