"label","spaceAgencyName","launchPlaceName","latLong","astroName","birthPlaceName"
"USA-168","US Air Force","Cape Canaveral Air Force Station",",",,
"Koronas-Foton","National Research Nuclear University ""MEPhI""","Plesetsk Cosmodrome",",",,
"Earth Radiation Budget Satellite","NASA","Kennedy Space Center Launch Complex 39",",",,
"Apollo 8","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jim Lovell","Cleveland, Ohio"
"STS-61-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jerry L. Ross","Crown Point, Indiana"
"STS-125","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John M. Grunsfeld","Chicago, Illinois"
"USA-211","US Air Force","Cape Canaveral Air Force Station",",",,
"Ratsat","SpaceX","Omelek Island",",",,
"Proba-3","ESA","Guiana Space Centre",",",,
"Paksat-1","Boeing","Cape Canaveral Air Force Station",",",,
"STS-114","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Wendy B. Lawrence","Jacksonville, Florida"
"Intelsat 33e","Intelsat","Guiana Space Center",",",,
"STS-122","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Alan G. Poindexter","Pasadena, California"
"AO-51","AMSAT","Baikonur Cosmodrome Site 109",",",,
"Aquarius (SAC-D instrument)","NASA","Vandenberg Air Force Base",",",,
"STS-70","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Terence T. Henricks","Bryan, Ohio"
"STS-35","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John M. Lounge","Denver"
"Yinghuo-1","China National Space Administration","Baikonur Cosmodrome Site 45",",",,
"Tyazhely Sputnik","Soviet Academy of Sciences","Gagarin's Start",",",,
"STS-40","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","F. Drew Gaffney","Carlsbad, New Mexico"
"Space Flyer Unit","Institute of Space and Astronautical Science","Tanegashima Space Center",",",,
"STS-117","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James F. Reilly","Idaho"
"UWE-2","University of Würzburg","Satish Dhawan Space Centre",",",,
"STS-66","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Scott E. Parazynski","Little Rock, Arkansas"
"STS-92","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Leroy Chiao","Wisconsin"
"Progress M-28M","Roscosmos","Gagarin's Start",",",,
"Hot Bird 13C","Eutelsat","Guiana Space Centre",",",,
"Venus Spectral Rocket Experiment","NASA","White Sands Missile Range",",",,
"Ekspress AM4R","Russian Satellite Communications Company","Baikonur Cosmodrome",",",,
"Eutelsat 113 West A","Satmex","Guiana Space Centre",",",,
"EchoStar X","EchoStar","Ocean Odyssey",",",,
"Superbird-B2","SKY Perfect JSAT Group","ELA-2",",",,
"STS-119","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Steven Swanson","Syracuse, New York"
"STS-69","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James H. Newman","Federated States of Micronesia"
"Soyuz TMA-4","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"JCSAT-2B","SKY Perfect JSAT Group","Cape Canaveral Air Force Station",",",,
"Meteor-3M No.1","Roscosmos","Baikonur Cosmodrome Site 45",",",,
"Star One C2","Star One (satellite operator)","Guiana Space Centre",",",,
"STS-36","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David C. Hilmers","Clinton, Iowa"
"STS-106","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Boris Morukov","Soviet Russia"
"Voyager 1","Jet Propulsion Laboratory","Cape Canaveral Air Force Station",",",,
"STS-93","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Catherine Coleman","Charleston, South Carolina"
"THEMIS","NASA","Cape Canaveral Air Force Station",",",,
"Advanced Land Observation Satellite","Japan Aerospace Exploration Agency","Tanegashima Space Center",",",,
"STS-50","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Carl J. Meade","Chanute Air Force Base"
"Venera 2MV-1 No.2","OKB-1","Gagarin's Start",",",,
"Foton-M No.2","European Space Agency","Baikonur Cosmodrome Site 1",",",,
"Explorer 11","NASA","Cape Canaveral Air Force Station Launch Complex 26",",",,
"Mars 96","Russian Federal Space Agency","Baikonur Cosmodrome",",",,
"Shenzhou 11","China National Space Administration","Jiuquan Satellite Launch Center","40.96749877929688,100.2786102294922","Jing Haipeng","Yuncheng"
"STS-53","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James S. Voss","Cordova, Alabama"
"Apollo 11","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael Collins (astronaut)","Kingdom of Italy"
"STS-66","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ellen Ochoa","California"
"STS-50","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Lawrence J. DeLucas","Syracuse, New York"
"STS-29","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John E. Blaha","San Antonio, Texas"
"STS-41-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Vance D. Brand","Longmont, Colorado"
"Gemini 8","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Neil Armstrong","United States"
"Eutelsat 33C","Eutelsat","Guiana Space Centre",",",,
"Kounotori 7","JAXA","Tanegashima Space Center",",",,
"Lunar Atmosphere and Dust Environment Explorer","NASA","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Discoverer 29","United States Air Force","Vandenberg Air Force Base",",",,
"SNAP-1","Surrey Satellite Technology Ltd","Plesetsk Cosmodrome",",",,
"Glory (satellite)","NASA","Vandenberg Air Force Base",",",,
"Mercury-Redstone 4","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Gus Grissom","Mitchell, Indiana"
