"label","spaceAgencyName","launchPlaceName","latLong","astroName","birthPlaceName"
"Superbird-A","Space Communications Corporation","ELA-2",",",,
"Nilesat 102","Nilesat","ELA-2",",",,
"STS-5","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert F. Overmyer","Lorain, Ohio"
"USA-224","National Reconnaissance Office","Vandenberg Air Force Base",",",,
"KA-SAT","Eutelsat","Baikonur Cosmodrome",",",,
"Yamal-300K","Gazprom Space Systems","Baikonur Cosmodrome Site 81",",",,
"Landsat 6","National Oceanic and Atmospheric Administration","Vandenberg Air Force Base",",",,
"Soyuz TMA-14M","Roskosmos","Kazakhstan","51.16666793823242,79.08035278320312","Aleksandr Samokutyayev","Russia"
"AMC-5","GE Americom","ELA-2",",",,
"STS-124","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kenneth Ham","Plainfield, New Jersey"
"Progress MS-10","Roscosmos State Corporation","Gagarin's Start",",",,
"STS-119","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard R. Arnold","Maryland"
"STS-96","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Daniel T. Barry","Norwalk, Connecticut"
"RISAT-1","ISRO","Satish Dhawan Space Centre",",",,
"STS-89","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Salizhan Sharipov","Uzgen"
"STS-6","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Karol J. Bobko","New York City"
"PRISMA (spacecraft)","Italian Space Agency","Guiana Space Centre",",",,
"STS-32","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jim Wetherbee","Flushing, Queens"
"STS-103","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John M. Grunsfeld","Chicago"
"Soyuz TMA-14M","Roskosmos","Kazakhstan","43.35032272338867,79.08035278320312","Aleksandr Samokutyayev","Russia"
"IRS-1A","Indian Space Research Organization","Baikonur Cosmodrome",",",,
"TUGSAT-1","Graz University of Technology","Satish Dhawan Space Centre",",",,
"STS-46","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Franco Malerba","Italy"
"CBERS-3","China National Space Administration","Taiyuan Satellite Launch Center",",",,
"Pioneer P-31","NASA","Cape Canaveral Air Force Station",",",,
"Vinasat-2","Vietnam Posts and Telecommunications Group","Guiana Space Centre",",",,
"Progress M-23M","Roskosmos","Gagarin's Start",",",,
"Chollian","Korea Aerospace Research Institute","Guiana Space Centre",",",,
"UniBRITE-1","University of Vienna","Satish Dhawan Space Centre",",",,
"Kosmos 690","Institute of Biomedical Problems","Plesetsk Cosmodrome",",",,
"STS-61","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Claude Nicollier","Switzerland"
"Meteor-M No.1","Roscosmos","Baikonur Cosmodrome",",",,
"STS-38","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard O. Covey","Fayetteville, Arkansas"
"STS-68","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Terrence W. Wilcutt","Russellville, Kentucky"
"STS-135","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Christopher Ferguson","Pennsylvania"
"Telstar 14R","Telesat","Baikonur Cosmodrome",",",,
"S-45A","NASA","Cape Canaveral Air Force Station Launch Complex 26",",",,
"Soyuz TMA-01M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"TeikyoSat-3","Teikyo University","Tanegashima Space Center",",",,
"EgyptSat 1","National Authority for Remote Sensing and Space Sciences","Baikonur Cosmodrome Site 109",",",,
"STS-123","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Takao Doi","Japan"
"STS-87","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kevin R. Kregel","Amityville, New York"
"STS-131","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Stephanie Wilson","Massachusetts"
"STS-8","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Guion Bluford","Philadelphia, Pennsylvania"
"STS-93","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jeffrey Ashby","Dallas"
"STS-62","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Marsha Ivins","Baltimore, Maryland"
"Progress M-46","Roskosmos","Gagarin's Start",",",,
"Long Duration Exposure Facility","NASA","Kennedy Space Center Launch Complex 39",",",,
"Soyuz TMA-14M","Roskosmos","Kazakhstan","43.35032272338867,71.43333435058594","Barry E. Wilmore","Murfreesboro, Tennessee"
"Skylab 4","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","William R. Pogue","Okemah, Oklahoma"
"Intelsat 604","Intelsat","Cape Canaveral Air Force Station",",",,
"Mars Hope","Mohammed bin Rashid Space Centre","Tanegashima Space Center",",",,
"STS-59","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael R. Clifford","California"
"Soyuz TMA-14M","Roskosmos","Kazakhstan","51.16666793823242,71.43333435058594","Aleksandr Samokutyayev","Russia"
"Globus-1M No.12L","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"STS-41-D","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Judith Resnik","Akron, Ohio"
"Badr-B","Space and Upper Atmosphere Research Commission","Baikonur Cosmodrome Site 45",",",,
"Soyuz 3","Soviet space program","Baikonur Cosmodrome",",",,
"Progress M-12M","Roskosmos","Gagarin's Start",",",,
"Zond 8","Soviet Union","Baikonur Cosmodrome",",",,
"Venera 8","Lavochkin","Baikonur Cosmodrome",",",,
"Alsat-1B","Surrey Satellite Technology Ltd","Sriharikota",",",,
"Extreme Ultraviolet Explorer","NASA","Cape Canaveral",",",,
"Resourcesat-2","Indian Space Research Organisation","Satish Dhawan Space Centre",",",,
"Explorer 35","NASA","Cape Canaveral Air Force Station",",",,
"Explorer 4","Army Ballistic Missile Agency","Cape Canaveral Air Force Station",",",,
"STS-41-C","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Terry Hart","Pittsburgh, Pennsylvania"
"CloudSat","NASA","Vandenberg Air Force Base",",",,
"Eutelsat 16C","Eutelsat","Baikonur Cosmodrome",",",,
"TIROS-1","NASA","Cape Canaveral Air Force Station",",",,
"Kosmos 2379","VKS","Baikonur Cosmodrome Site 81",",",,
"Hypersonic Flight Experiment","ISRO","Satish Dhawan Space Centre",",",,
"ISEE-1","NASA","Cape Canaveral AFS",",",,
"AGILE (satellite)","Italian Space Agency","Satish Dhawan Space Centre Second Launch Pad",",",,
"Sakigake","Institute of Space and Astronautical Science","Uchinoura Space Center",",",,
"TanDEM-X","German Aerospace Center","Baikonur Cosmodrome Site 109",",",,
"Progress M-01M","Roskosmos","Gagarin's Start",",",,
"STS-52","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Tamara E. Jernigan","Chattanooga, Tennessee"
"STS-75","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Umberto Guidoni","Italy"
"Soyuz TMA-5","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"Kosmos 2402","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Kosmos 2441","Russian Space Forces","Plesetsk Cosmodrome",",",,
"Gemini 5","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Gordon Cooper","United States"
"STS-57","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","G. David Low","Cleveland"
"STS-97","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Carlos I. Noriega","Lima, Peru"
"STS-51-A","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David M. Walker (astronaut)","Columbus, Georgia"
"Chang'e 1","China National Space Administration","Xichang Satellite Launch Center",",",,
"MightySat-2.1","AFRL","Vandenberg Air Force Base",",",,
"STS-92","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Koichi Wakata","Ōmiya, Saitama"
"Jugnu (satellite)","Indian Institute of Technology Kanpur","Satish Dhawan Space Centre",",",,
"STS-37","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Steven R. Nagel","Canton, Illinois"
"Landsat 3","NASA","Vandenberg Air Force Base",",",,
"Gemini 1","NASA","Cape Canaveral Air Force Station",",",,
"STS-74","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James D. Halsell","West Monroe, Louisiana"
"Kosmos 1629","VKS","Baikonur Cosmodrome",",",,
"Apollo 14","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Alan Shepard","New Hampshire"
"Progress MS-02","Roscosmos","Baikonur Cosmodrome",",",,
"SpaceX CRS-3","NASA","Cape Canaveral Air Force Station",",",,
"Soyuz TMA-10M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"SpaceShipOne flight 15P","Scaled Composites","Mojave Air and Space Port","35.05944442749023,-118.1516647338867","Mike Melvill","Johannesburg"
"Meridian 5","Russian Aerospace Defence Forces","Plesetsk Cosmodrome",",",,
"STS-110","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Stephen Frick","Pittsburgh"
"AS-102 (spacecraft)","NASA","Cape Canaveral Air Force Station",",",,
"Cygnus CRS OA-7","NASA","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Progress M-06M","Roskosmos","Gagarin's Start",",",,
"AMC-3","GE Americom","Cape Canaveral Air Force Station",",",,
"GSAT-16","Indian Space Research Organisation","Guiana Space Centre",",",,
"STS-34","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael J. McCulley","San Diego"
"Landsat 5","National Oceanic and Atmospheric Administration","Vandenberg Air Force Base",",",,
"ALMASat-1","University of Bologna","Guiana Space Centre",",",,
"Meridian 2","VKS","Plesetsk Cosmodrome",",",,
"STS-8","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Daniel Brandenstein","Watertown, Wisconsin"
"IRAS","Science and Engineering Research Council","Vandenberg Air Force Base",",",,
"Ariel 4","Science and Engineering Research Council","Vandenberg Air Force Base",",",,
"PSLV-C2","ISRO","Satish Dhawan Space Centre",",",,
"STS-30","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mary L. Cleave","Southampton, New York"
"Kosmos 2466","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"USA-63","US Air Force","Cape Canaveral Air Force Station",",",,
"TurkmenAlem52E/MonacoSAT","Turkmenistan National Space Agency","Cape Canaveral Air Force Station",",",,
"Intelsat 603","Intelsat","Cape Canaveral Air Force Station",",",,
"Soyuz TMA-14M","Roskosmos","Kazakhstan","43.35032272338867,71.43333435058594","Yelena Serova","Ussuriysk"
"Radarsat-1","Canadian Space Agency","Vandenberg Air Force Base",",",,
"Galaxy 15","Intelsat","Guiana Space Centre",",",,
"AS-101 (spacecraft)","NASA","Cape Canaveral Air Force Station",",",,
"Orion 3","Loral Space & Communications","Cape Canaveral Air Force Station",",",,
"Ekspress AM4","Russian Satellite Communications Company","Baikonur Cosmodrome",",",,
"STS-128","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Frederick W. Sturckow","La Mesa, California"
"STS-47","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jerome Apt","Massachusetts"
"INSAT-1B","Indian Space Research Organisation","Kennedy Space Center Launch Complex 39",",",,
"STS-80","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Thomas David Jones","Baltimore"
"Soyuz 8","Soviet space program","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Vladimir Shatalov","Petropavl"
"AMC-1","GE Americom","Cape Canaveral Air Force Station Space Launch Complex 36",",",,
"Cartosat-2A","Indian Space Research Organisation","Satish Dhawan Space Centre Second Launch Pad",",",,
"USA-229","National Reconnaissance Office","Vandenberg Air Force Base",",",,
"STS-120","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Stephanie Wilson","Massachusetts"
"Mars Geyser Hopper","NASA","Florida, USA",",",,
"Vanguard 2","Department of the Navy","Cape Canaveral Air Force Station",",",,
"STS-49","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Bruce E. Melnick","New York City"
"Progress M-15M","Roskosmos","Baikonur Cosmodrome",",",,
"Eutelsat 48D","Eutelsat","Guiana Space Centre",",",,
"Soyuz TMA-14M","Roskosmos","Kazakhstan","43.35032272338867,79.08035278320312","Yelena Serova","Ussuriysk"
"STS-126","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Christopher Ferguson","Pennsylvania"
"STS-125","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael T. Good","Parma, Ohio"
"USA-145","US Air Force","Cape Canaveral Air Force Station",",",,
"Intermediate eXperimental Vehicle","ESA","Guiana Space Centre",",",,
"Hispasat AG1","Hispasat","Guiana Space Centre",",",,
"Superbird-B1","Space Communications Corporation","ELA-2",",",,
"BeeSat-1","Technical University of Berlin","Satish Dhawan Space Centre",",",,
"MEASAT-3","MEASAT","Baikonur Cosmodrome",",",,
"STS-91","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Janet L. Kavandi","Carthage, Missouri"
"STS-51-D","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jake Garn","Richfield, Utah"
"SpaceX CRS-19","SpaceX","SLC-40",",",,
"PSLV-C3","ISRO","Satish Dhawan Space Centre",",",,
"Soyuz 1","Soviet space program","Baikonur Cosmodrome Site 1",",",,
"Cygnus CRS OA-9E","NASA","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Kounotori 3","Japan Aerospace Exploration Agency","Tanegashima Space Center",",",,
"AMC-21","SES World Skies","Guiana Space Centre",",",,
"Transit 5E-1","US Air Force","Vandenberg Air Force Base",",",,
"Moon Mineralogy Mapper","NASA","Satish Dhawan Space Centre",",",,
"European Retrievable Carrier","ESA","Kennedy Space Center Launch Complex 39",",",,
"Sky Muster","National Broadband Network","Guiana Space Centre",",",,
"STS-90","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Dafydd Williams","Saskatchewan"
"Gemini 9A","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Thomas P. Stafford","Oklahoma"
"SCORE (satellite)","Defense Advanced Research Projects Agency","Cape Canaveral Air Force Station",",",,
"Kosmos 775","VKS","Baikonur Cosmodrome Site 81",",",,
"Soyuz 11","Soviet space program","Gagarin's Start","45.9202766418457,63.34222030639648","Vladislav Volkov","Moscow"
"XSS 10","AFRL","Cape Canaveral Air Force Station",",",,
"Tele-X","Nordic Satellite AB","Guiana Space Centre",",",,
"Telstar 301","AT&T Corporation","Cape Canaveral Air Force Station",",",,
"Soyuz TMA-13M","Roskosmos","Gagarin's Start","45.9202766418457,63.34222030639648","Alexander Gerst","Germany"
"Johannes Kepler ATV","European Space Agency","Guiana Space Centre",",",,
"Granat","Soviet space program","Baikonur Cosmodrome",",",,
"Sapphire (satellite)","Department of National Defence (Canada)","Satish Dhawan Space Centre",",",,
"STS-48","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles D. Gemar","Yankton, South Dakota"
"STS-91","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Wendy B. Lawrence","Jacksonville, Florida"
"Soyuz 4","Soviet space program","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Vladimir Shatalov","Petropavl"
"Shenzhou 11","China National Space Administration","Jiuquan Satellite Launch Center","40.96055603027344,100.2983322143555","Chen Dong (astronaut)","Luoyang"
"EchoStar XIV","EchoStar","Baikonur Cosmodrome",",",,
"IRS-P1","Indian Space Research Organisation","Satish Dhawan Space Centre",",",,
"UniCubeSat-GG","GAUSS","Guiana Space Centre",",",,
"NEE-01 Pegaso","Ecuadorian Civilian Space Agency","Jiuquan Satellite Launch Center",",",,
"Kosmos 2434","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Progress M-07M","Roskosmos","Baikonur Cosmodrome",",",,
"STS-67","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Samuel T. Durrance","Tallahassee, Florida"
"Voskhod 1","Soviet space program","Baikonur Cosmodrome Site 1",",",,
"STS-66","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Joseph R. Tanner","Illinois"
"MightySat-1","AFRL","Kennedy Space Center Launch Complex 39",",",,
"Orbiting Carbon Observatory 2","NASA","Vandenberg Air Force Base",",",,
"SpaceShipOne flight 16P","Scaled Composites","Mojave Air and Space Port","35.05944442749023,-118.1516647338867","Mike Melvill","Johannesburg"
"Luch 5B","Roskosmos","Baikonur Cosmodrome Site 81",",",,
"STS-102","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Paul W. Richards","United States"
"Cartosat-2E","Indian Space Research Organisation","Satish Dhawan Space Centre Second Launch Pad",",",,
